step,time,loss_render_fine,loss_render_coarse,physics_weight,loss_total,lr,psnr_train
0,1782665228.6797044,0.22085827589035034,0.20663194358348846,0.0,0.32417425513267517,5e-06,6.558863224360559
50,1782665232.1685455,0.05734986066818237,0.049466464668512344,0.5,0.08237458765506744,0.000255,12.414676328823832
100,1782665235.877337,0.06691908091306686,0.0659230425953865,1.0,0.10040651261806488,0.0005,11.744500324006847
150,1782665239.3950818,0.039875030517578125,0.03708368539810181,1.0,0.05899140611290932,0.000477496293010718,13.992989715558103
200,1782665242.7152605,0.027545785531401634,0.020151572301983833,1.0,0.039895396679639816,0.00045600541967795487,15.599448382084786
250,1782665246.0715082,0.023701930418610573,0.012661830522119999,1.0,0.03374958410859108,0.0004354817949780403,16.252162811625283
